Codice Univoco Submisura;Descrizione Submisura;Numero seriale ;Titolo Bando o Avviso;CIG;Soggetto emanante;Codice Fiscale;Importo complessivo gara;Importo previsto PNRR;Importo previsto altri fondi;Data apertura bando;Data chiusura effettiva bando;Fino ad esaurimento risorse;Stato del Bando;Link al bando;Numero richieste;Numero partecipanti;Importo totale interventi-progetti proposti;Numero degli aggiudicatari;Destinatari del Bando o dell’Avviso;Importo Aggiudicato Totale;Importo Aggiudicato PNRR;Importo Aggiudicato Altri Fondi;Data aggiornamento-osservazione bandi
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);99;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 3. Lombardia, Sardegna, p.a. Bolzano, p.a. Trento;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;;0;0;Imprese;;;;27/05/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);100;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 4. Friuli-Venezia Giulia, Umbria, Veneto;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;;0;0;Imprese;;;;27/05/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);101;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 5. Calabria, Emilia-Romagna, Marche;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;;0;0;Imprese;;;;27/05/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);102;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 6. Abruzzo, Molise, Campania, Basilicata, Puglia
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;;0;0;Imprese;;;;27/05/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);130;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto Lotto 1. Lazio, Piemonte, Valle d'Aosta
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;102267582;102267582;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;54654369;54654369;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);131;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 2. Liguria, Sicilia, Toscana
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;91789292;91789292;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;62574055;62574055;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);132;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 3. Lombardia, Sardegna, p.a. Bolzano, p.a. Trento;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;94918097;94918097;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;60375884;60375884;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);133;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 4. Friuli-Venezia Giulia, Umbria, Veneto;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;106114929;106114929;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;55908954;55908954;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);134;Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 5. Calabria, Emilia-Romagna, Marche;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;84270563;84270563;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;55673475;55673475;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);135;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 6. Abruzzo, Molise, Campania, Basilicata, Puglia
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;87682570;87682570;;20/05/2022;10/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-per-la-concessione-di-contributi-pubblici-piano-italia-5g;;;;1;operatori economici;56529920;56529920;;30/06/2022
M1C2I3.01.03;Scuola Connessa;67;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;90711662FE;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;16323836;16323836;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;"Lotto 1: 3 partecipanti
";;;1;operatore economico;15392356,29;15392356,29;;09/06/2022
M1C2I3.01.03;Scuola Connessa;68;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;9071195AEA;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;21491729;21491729;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;4;;;1;operatore economico;19353145,89;19353145,89;;09/06/2022
M1C2I3.01.03;Scuola Connessa;69;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;90712020B4;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;17204027;17204027;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;2;;;1;operatore economico;16111571,17;16111571,17;;09/06/2022
M1C2I3.01.03;Scuola Connessa;70;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;9071227554;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;12694884;12694884;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;2;;;1;operatore economico;11496486,46;11496486,46;;09/06/2022
M1C2I3.01.03;Scuola Connessa;71;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;9071234B19;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;26941060;26941060;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;2;;;1;operatore economico;24252594,57;24252594,57;;09/06/2022
M1C2I3.01.03;Scuola Connessa;72;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;907828127A;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;23215750;23215750;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;2;;;1;operatore economico;19654453,55;19654453,55;;09/06/2022
M1C2I3.01.03;Scuola Connessa;73;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;9078294D31;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;46115886;46115886;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;3;;;1;operatore economico;41500668,85;41500668,85;;09/06/2022
M1C2I3.01.03;Scuola Connessa;74;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività Internet a banda ultralarga presso scuole sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8426477- CUP: B59J21028510006;9078305647;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;20437288;20437288;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-scuole-2022;3;;;1;operatore economico;18229727,13;18229727,13;;09/06/2022
M1C2I3.01.04;Sanità Connessa;62;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;907862D84;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;45811165;45811165;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;4;;;1;operatore economico;43543527,88;43543527,88;;09/06/2022
M1C2I3.01.04;Sanità Connessa;63;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;90786860B2;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;55719484;55719484;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;4;;;1;operatore economico;44570017,33;44570017,33;;09/06/2022
M1C2I3.01.04;Sanità Connessa;64;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;9078702DE2;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;44387393;44387393;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;4;;;1;operatore economico;37611042,41;37611042,41;;09/06/2022
M1C2I3.01.04;Sanità Connessa;65;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;9078719BEA;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;51295361;51295361;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;3;;;1;operatore economico;40897788,85;40897788,85;;09/06/2022
M1C2I3.01.04;Sanità Connessa;66;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;9078733779;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;51528111;51528111;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;3;;;1;operatore economico;36739543,62;36739543,62;;09/06/2022
M1C2I3.01.04;Sanità Connessa;75;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;9078522959;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;44097112;44097112;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;"

Lotto 1: 4 partecipanti
";;;1;operatore economico;33107372,3;33107372,3;;09/06/2022
M1C2I3.01.04;Sanità Connessa;76;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;907855221D;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;42215205;42215205;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;5;;;1;operatore economico;34240429,52;34240429,52;;09/06/2022
M1C2I3.01.04;Sanità Connessa;77;Procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per la fornitura di servizi di connettività a banda ultralarga presso le strutture del servizio sanitario pubblico sul territorio italiano, compresa la fornitura e posa in opera della rete di accesso e servizi di gestione e manutenzione. Numero gara: 8432479 - CUP: B51B21007440006.;90786123A0;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;52235394;52235394;;28/01/2022;11/04/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/gara-sanita-2022;3;;;1;operatore economico;43454624,34;43454624,34;;09/06/2022
M1C2I3.01.05;Collegamento isole minori;86;Gara procedura aperta ex artt. 28 e 60 del d.lgs. n. 50/2016 e s.m.i. per l’affidamento di appalto per la progettazione, fornitura e posa in opera del cavo sottomarino a fibre ottiche e relativa manutenzione, e della progettazione ed esecuzione dei lavori di realizzazione di infrastrutture costituite da impianti in fibra ottica, per la realizzazione del “piano isole minori” CIG: 9099310C25;9099310C25;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;45641645;45641645;;11/02/2022;18/03/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/avviso-gara-isole-minori;1;;45641645;1;imprese;45641645;45641645;;26/05/2022
M1C2I4.01.02;Osservatorio della Terra;207;IRIDE PROJECT: EARTH OBSERVATION SERVICES FOR LOCAL PUBLIC ADMINISTRATIONS (EOS4LPA);;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;3500000;;14/10/2022;;;In corso;https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/50521;;;;;Operatori economici;;;;24/10/2022
M1C2I5.01.02;Competitività e resilienza delle filiere produttive;115;Competitività e resilienza delle filiere produttive (Contratto di Sviluppo);;MINISTERO IMPRESE E DEL MADE IN ITALY;80230390587;N/A;750000000;;11/04/2022;01/09/2022;;Aggiudicato;https://www.mise.gov.it/index.php/it/198-notizie-stampa/2043275-pnrr-dall-11-aprile-le-domande-per-i-nuovi-contratti-di-sviluppo;43; ;460000000; ;operatori economici;740000000;740000000;;31/12/2022
M1C2I6.01.00;Investimento nel sistema della proprietà industriale;180;Bando per il finanziamento di progetti di potenziamento e capacity building degli Uffici di Trasferimento Tecnologico (UTT) delle Università italiane, degli enti pubblici di ricerca (EPR) italiani e degli Istituti di ricovero e cura a carattere scientifico (IRCCS) al fine di aumentare l’intensità dei flussi di trasferimento tecnologico verso il sistema delle imprese;;MINISTERO IMPRESE E DEL MADE IN ITALY;80230390587;N/A;7500000;;08/09/2022;17/10/2022;;Chiuso;"https://www.mise.gov.it/index.php/it/notizie-stampa/pnrr-7-5-milioni-per-gli-uffici-di-trasferimento-tecnologico
https://media-exp1.licdn.com/dms/document/C4D1FAQH9ZNHPFPYobg/feedshare-document-pdf-analyzed/0/1661854370965?e=1662595200&v=beta&t=IEDouStyHq_yY6bqQHwCQs1YPhb4hbDLCQRL7_f3DGg";93;;;;Università statali e non statali e gli Istituti universitari ad ordinamento speciale, gli Enti Pubblici di Ricerca e gli Istituti di Ricovero e Cura a Carattere Scientifico (IRCCS) ;;;;12/12/2022
M1C2I6.01.00;Investimento nel sistema della proprietà industriale;197;Programmi di valorizzazione dei brevetti tramite il finanziamento di progetti di Proof of Concept (PoC);;MINISTERO IMPRESE E DEL MADE IN ITALY;80230390587;N/A;8500000;;24/09/2022;14/11/2022;;Chiuso;https://www.mise.gov.it/images/stories/normativa/Bando_POC_-_PNRR_2022.pdf;233;;;;"Università statali e non statali e gli Istituti
universitari ad ordinamento speciale, gli Enti Pubblici di Ricerca e gli Istituti di Ricovero e Cura
a Carattere Scientifico (IRCCS) ";;;;14/12/2022
M1C2I6.01.00;Investimento nel sistema della proprietà industriale;198;Bando per il finanziamento di progetti di valorizzazione dei brevetti (Brevetti+) ;;MINISTERO IMPRESE E DEL MADE IN ITALY;80230390587;N/A;10000000;;27/09/2022;;SI;In corso;https://www.mise.gov.it/images/stories/normativa/2_2022_07_12_Bando_2022_brevetti.pdf;;;;;Piccole e medie imprese;;;;19/08/2022
M1C3I1.02.00;Rimozione delle barriere fisiche e cognitive in musei, biblioteche e archivi per consentire un più ampio accesso e partecipazione alla cultura;126;Avviso pubblico per proposte di intervento per la rimozione delle barriere fisiche, cognitive e sensoriali dei musei e luoghi della cultura privati;;MINISTERO DELLA CULTURA;97904380587;N/A;7460000;;12/05/2022;12/08/2022;;Aggiudicato;http://musei.beniculturali.it/notizie/notifiche/avviso-pubblico-per-proposte-di-intervento-per-la-rimozione-delle-barriere-fisiche-cognitive-e-sensoriali-dei-musei-e-luoghi-della-cultura-privati;;;;;operatori economici;7460000;7460000;;12/12/2022
M1C3I1.02.00;Rimozione delle barriere fisiche e cognitive in musei, biblioteche e archivi per consentire un più ampio accesso e partecipazione alla cultura;127;Avviso pubblico per proposte di intervento per la rimozione delle barriere fisiche, cognitive e sensoriali dei musei e luoghi della cultura pubblici non appartenenti al MiC;;MINISTERO DELLA CULTURA;97904380587;N/A;123214700;;12/05/2022;12/08/2022;;Aggiudicato;http://musei.beniculturali.it/notizie/notifiche/avviso-pubblico-per-proposte-di-intervento-per-la-rimozione-delle-barriere-fisiche-cognitive-e-sensoriali-dei-musei-e-luoghi-della-cultura-pubblici-non-appartenenti-al-mic;;;135123000;;operatori economici;123214700;123214700;;22/12/2022
M1C3I1.03.00;Migliorare l'efficienza energetica nei cinema, nei teatri e nei musei;51;"Avviso pubblico per la presentazione di Proposte di intervento per la promozione dell’ecoefficienza e riduzione dei consumi energetici nelle sale teatrali e nei cinema, pubblici e privati
 ";;MINISTERO DELLA CULTURA;97904380587;N/A;288517514,2;;27/12/2021;18/03/2022;;Aggiudicato;https://media.beniculturali.it/mibac/files/boards/be78e33bc8ca0c99bff70aa174035096/Bottoni/Recovery/PDF/Inv1.3/DD/Decreto%20n.%20452_%2007.06.2022_investimento1.3.%20assegnazione%20risorse-signed.pdf;426;"
274 cinema.
348 teatri";;"
274 cinema.
348 teatri";Imprese, Regioni, Province, Comuni. Liberi professionisti, Organizzazioni/Associazioni del terzo settore;288517514,2;288517514,2;;27/06/2022
M1C3I2.01.00;Attrattività dei borghi;48;Avviso pubblico per la presentazione di Proposte di intervento per la rigenerazione culturale e sociale dei piccoli borghi storici  (linea azione B);;MINISTERO DELLA CULTURA;97904380587;N/A;380000000;;20/12/2021;15/03/2022;;Aggiudicato;https://cultura.gov.it/borghi;1791;289;2959144484;289;Comuni;363445527,1;363445527,1;;27/06/2022
M1C3I2.01.00;Attrattività dei borghi;161;Avviso pubblico per la ricerca di N. 16 esperti nella gestione di progetti nel campo dei beni culturali, del turismo e dei viaggi delle radici ;;MIN AFFARI ESTERI E COOPERAZ INT;80213330584;N/A;;;01/08/2022;22/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=119a10fac1b7449b84d25bc0d2bd2e94;;16;;16;Individui;;;;12/12/2022
M1C3I2.03.00;Programmi per valorizzare l'identità dei luoghi: parchi e giardini storici;52;Avviso pubblico per la presentazione di Proposte di intervento per il restauro e la valorizzazione di parchi e giardini storici  ;;MINISTERO DELLA CULTURA;97904380587;N/A;190000000;97825113;30/12/2021;15/03/2022;;Aggiudicato;https://cultura.gov.it/giardini;1081;134;1386075744;134;Imprese, Organizzazioni/Associazioni del terzo settore, Regioni, Provincie, Comuni, Altro: Amministrazioni Pubbliche;190000000;190000000;;27/06/2022
M1C3I3.03.02;Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale;212;Avviso pubblico per l'erogazione di contributi a fondo perduto in favore di micro e piccole imprese, enti del terzo settore e organizzazioni profit e no profit, operanti nei settori culturali e creativi per favorire l'innovazione e la transizione digitale. ;;MINISTERO DELLA CULTURA;97904380587;N/A;110419102,1;;03/11/2022;01/02/2023;;Chiuso;https://www.invitalia.it/chi-siamo/area-media/notizie-e-comunicati-stampa/al-via-incentivo-tocc;;;;;micro e piccole imprese;;;;12/12/2022
M1C3I4.01.00;Hub del Turismo Digitale;80;Gara SDAPA a 5 Lotti per HUB del turismo digitale LOTTO 1, prot. n. 1762/22 (Fornitura licenze d’uso di un software di Enterprise Integration Platform as a Service, comprensive di assistenza e manutenzione ordinaria);9089987E8F;MINISTERO DEL TURISMO;96480590585;2100000;2100000;0;04/02/2022;14/02/2022;;Chiuso;https://www.ministeroturismo.gov.it/gara-sdapa-a-5-lotti-per-hub-del-turismo-digitale/;0;0;0;1;Operatori economici;499000;499000;0;18/10/2022
M1C3I4.01.00;Hub del Turismo Digitale;81;"Gara SDAPA a 5 Lotti per HUB del turismo digitale LOTTO 5, prot. n. 1762/22 (Fornitura di un servizio per la gestione e la consultazione indipendente di
tracce digitali relative ai dati turistici e del relativo aggiornamento)";;MINISTERO DEL TURISMO;96480590585;6600000;6600000;0;04/02/2022;14/02/2022;;Chiuso;https://www.ministeroturismo.gov.it/gara-sdapa-a-5-lotti-per-hub-del-turismo-digitale/;0;0;0;0;Operatori economici;3885462;3885462;0;18/10/2022
M1C3I4.01.00;Hub del Turismo Digitale;82;Gara SDAPA a 5 Lotti per HUB del turismo digitale LOTTO 3, prot. n. 1762/22 (Fornitura di un framework tecnologico GIS – “Sistema Informativo Geografico” in licenza d’uso, comprensiva di assistenza per installazione e tuning iniziale);909003455B;MINISTERO DEL TURISMO;96480590585;1400000;1400000;0;04/02/2022;14/02/2022;;Chiuso;https://www.ministeroturismo.gov.it/gara-sdapa-a-5-lotti-per-hub-del-turismo-digitale/;0;0;0;1;Operatori economici;999600;999600;0;18/10/2022
M1C3I4.01.00;Hub del Turismo Digitale;83;Gara SDAPA a 5 Lotti per HUB del turismo digitale LOTTO 2, prot. n. 1762/22 ( Fornitura di licenze d’uso di un software di Enterprise Search as a Service, comprensive di assistenza e manutenzione ordinaria);9090006E3D;MINISTERO DEL TURISMO;96480590585;1300000;1300000;0;04/02/2022;14/02/2022;;Chiuso;https://www.ministeroturismo.gov.it/gara-sdapa-a-5-lotti-per-hub-del-turismo-digitale/;0;0;0;1;Operatori economici;667383,41;667383,41;0;18/10/2022
M1C3I4.01.00;Hub del Turismo Digitale;84;Gara SDAPA a 5 Lotti per HUB del turismo digitale LOTTO 4, prot. n. 1762/22 (Fornitura di licenze d’uso di un software di Ascolto della rete, dei canali social e di gestione delle pagine social);909003997A;MINISTERO DEL TURISMO;96480590585;1000000;1000000;0;04/02/2022;14/02/2022;;Chiuso;https://www.ministeroturismo.gov.it/gara-sdapa-a-5-lotti-per-hub-del-turismo-digitale/;0;0;0;1;Operatori economici;652740;652740;0;18/10/2022
M1C3I4.01.00;Hub del Turismo Digitale;105;Gara SDAPA  per l’acquisizione della fornitura di servizi Google Maps Platform per una durata di 36 mesi e relativi servizi professionali, prot. n. 3825/22;9150239817;MINISTERO DEL TURISMO;96480590585;1500000;1500000;0;24/03/2022;13/05/2022;;Chiuso;https://www.ministeroturismo.gov.it/wp-content/uploads/2022/03/Determina_Gara_Dati_3_lotti_def_signed_3855_22.pdf;0;0;0;1;Operatori economici;1364402;1364402;0;18/10/2022
